dataset,graph,solver,num_nodes,num_edges,total_time_ms,solve_time_ms,transformation_time_ms,mwu_iterations,avg_oracle_time_ms,mendel_total_ms,mendel_avg_ms,demand_model,offline_opt,achieved_congestion,ratio_pct,status
Backbone,BICS.lgf,lp,33,96,83169,NaN,NaN,NaN,NaN,NaN,NaN,uniform,1.50134e+06,3.78128e+06,251.86,OK
Backbone,BICS.lgf,lp,33,96,83169,NaN,NaN,NaN,NaN,NaN,NaN,gaussian,1.7281e+06,4.38204e+06,253.576,OK
Backbone,BICS.lgf,lp,33,96,83169,NaN,NaN,NaN,NaN,NaN,NaN,gravity,1.91676,254.894,13298.1,OK
Backbone,BellCanada.lgf,lp,48,128,623447,NaN,NaN,NaN,NaN,NaN,NaN,bimodal,402904,3.05629e+06,758.565,OK
Backbone,BellCanada.lgf,lp,48,128,623447,NaN,NaN,NaN,NaN,NaN,NaN,uniform,2.43376e+06,2.09859e+07,862.284,OK
Backbone,BellCanada.lgf,lp,48,128,623447,NaN,NaN,NaN,NaN,NaN,NaN,gaussian,2.92788e+06,2.64518e+07,903.447,OK
Backbone,BellCanada.lgf,lp,48,128,623447,NaN,NaN,NaN,NaN,NaN,NaN,gravity,1.93697,1052.68,54347,OK
Backbone,BellCanada.lgf,lp,48,128,680361,NaN,NaN,NaN,NaN,NaN,NaN,bimodal,275739,3.02896e+06,1098.49,OK
Backbone,BellCanada.lgf,lp,48,128,680361,NaN,NaN,NaN,NaN,NaN,NaN,uniform,2.1542e+06,2.1903e+07,1016.76,OK
Backbone,BellCanada.lgf,lp,48,128,680361,NaN,NaN,NaN,NaN,NaN,NaN,gaussian,2.81297e+06,2.5749e+07,915.366,OK
Backbone,BellCanada.lgf,lp,48,128,680361,NaN,NaN,NaN,NaN,NaN,NaN,gravity,1.93697,1052.68,54347,OK
Backbone,BellSouth.lgf,lp,51,132,504910,NaN,NaN,NaN,NaN,NaN,NaN,bimodal,389815,604276,155.016,OK
Backbone,BellSouth.lgf,lp,51,132,504910,NaN,NaN,NaN,NaN,NaN,NaN,uniform,2.51098e+06,5.54564e+06,220.856,OK
Backbone,BellSouth.lgf,lp,51,132,504910,NaN,NaN,NaN,NaN,NaN,NaN,gaussian,3.4111e+06,6.56243e+06,192.385,OK
Backbone,BellSouth.lgf,lp,51,132,504910,NaN,NaN,NaN,NaN,NaN,NaN,gravity,1.92844,64.2205,3330.17,OK
Backbone,BellSouth.lgf,lp,51,132,563572,NaN,NaN,NaN,NaN,NaN,NaN,bimodal,417243,623081,149.333,OK
Backbone,BellSouth.lgf,lp,51,132,563572,NaN,NaN,NaN,NaN,NaN,NaN,uniform,2.55809e+06,5.69587e+06,222.661,OK
Backbone,BellSouth.lgf,lp,51,132,563572,NaN,NaN,NaN,NaN,NaN,NaN,gaussian,3.56332e+06,6.90894e+06,193.891,OK
Backbone,BellSouth.lgf,lp,51,132,563572,NaN,NaN,NaN,NaN,NaN,NaN,gravity,1.92844,64.2205,3330.17,OK
Backbone,BtEurope.lgf,lp,24,74,14099,NaN,NaN,NaN,NaN,NaN,NaN,bimodal,192318,313456,162.989,OK
Backbone,BtEurope.lgf,lp,24,74,14099,NaN,NaN,NaN,NaN,NaN,NaN,uniform,1.11509e+06,2.17776e+06,195.299,OK
Backbone,BtEurope.lgf,lp,24,74,14099,NaN,NaN,NaN,NaN,NaN,NaN,gaussian,1.7728e+06,3.22083e+06,181.68,OK
Backbone,BtEurope.lgf,lp,24,74,14099,NaN,NaN,NaN,NaN,NaN,NaN,gravity,1.77981,127.51,7164.22,OK
Backbone,BtEurope.lgf,lp,24,74,17833,NaN,NaN,NaN,NaN,NaN,NaN,bimodal,170917,271034,158.577,OK
Backbone,BtEurope.lgf,lp,24,74,17833,NaN,NaN,NaN,NaN,NaN,NaN,uniform,1.18732e+06,2.04859e+06,172.54,OK
Backbone,BtEurope.lgf,lp,24,74,17833,NaN,NaN,NaN,NaN,NaN,NaN,gaussian,1.3044e+06,2.34016e+06,179.405,OK
Backbone,BtEurope.lgf,lp,24,74,17833,NaN,NaN,NaN,NaN,NaN,NaN,gravity,1.77981,127.51,7164.22,OK
Backbone,BtNorthAmerica.lgf,lp,36,152,358224,NaN,NaN,NaN,NaN,NaN,NaN,bimodal,44216,507084,1146.83,OK
