dataset,graph,solver,demand,num_edges,total_time_ms,solve_time_ms,transformation_time_ms,mwu_iterations,avg_oracle_time_ms,achieved_congestion,offline_opt_value,status
Backbone,Backbone/GRNet.lgf,lp,bimodal,82,86505,NaN,NaN,NaN,NaN,5414.29,884.651,OK
Backbone,Backbone/Gambia.lgf,electrical,bimodal,56,13,12,1,8,1,3490.86,1206.11,OK
Backbone,Backbone/Gambia.lgf,ckr,bimodal,56,68,4,64,14,0,3454.41,1123.81,OK
Backbone,Backbone/Gambia.lgf,frt,bimodal,56,4413,4388,25,7,626.429,3021.96,363.949,OK
Backbone,Backbone/Gambia.lgf,random_mst,bimodal,56,150,2,148,23,0,3425.58,1159.93,OK
Backbone,Backbone/Gambia.lgf,lp,bimodal,56,11168,NaN,NaN,NaN,NaN,3611.74,753.872,OK
Backbone,Backbone/Geant.lgf,electrical,bimodal,110,43,41,2,12,3,7873.59,694.834,OK
Backbone,Backbone/Geant.lgf,ckr,bimodal,110,2691,12,2679,31,0,1814.78,1050.92,OK
Backbone,Backbone/Geant.lgf,frt,bimodal,110,172758,170963,1795,23,7432.61,2749.73,1037.42,OK
Backbone,Backbone/Geant.lgf,random_mst,bimodal,110,4911,5,4906,29,0,2131.63,747.649,OK
Backbone,Backbone/Geant.lgf,lp,bimodal,110,495941,NaN,NaN,NaN,NaN,2595.73,896.069,OK
Backbone,Backbone/Germany_cost.lgf,electrical,bimodal,50,15,14,1,10,1.1,2319.87,514.051,OK
Backbone,Backbone/Germany_cost.lgf,ckr,bimodal,50,130,3,127,20,0,3131.69,538.303,OK
Backbone,Backbone/Germany_cost.lgf,frt,bimodal,50,1093,1032,61,15,68.3333,2806.7,698.004,OK
Backbone,Backbone/Germany_cost.lgf,random_mst,bimodal,50,117,1,116,16,0,2873.32,661.058,OK
Backbone,Backbone/Germany_cost.lgf,lp,bimodal,50,2799,NaN,NaN,NaN,NaN,2569.57,417.942,OK
Backbone,Backbone/Internetmci.lgf,electrical,bimodal,66,17,16,1,12,1.16667,584.969,41.5429,OK
Backbone,Backbone/Internetmci.lgf,ckr,bimodal,66,343,6,337,28,0,184.157,46.4918,OK
Backbone,Backbone/Internetmci.lgf,frt,bimodal,66,5672,5408,264,22,245.364,174.413,49.507,OK
Backbone,Backbone/Internetmci.lgf,random_mst,bimodal,66,303,1,302,23,0,132.185,46.2089,OK
Backbone,Backbone/Internetmci.lgf,lp,bimodal,66,9902,NaN,NaN,NaN,NaN,148.467,42.9497,OK
Backbone,Backbone/Italy_cost.lgf,electrical,bimodal,112,80,78,2,13,5.76923,6514.06,759.34,OK
Backbone,Backbone/Italy_cost.lgf,ckr,bimodal,112,6870,16,6854,39,0,7876.2,830.04,OK
Backbone,Backbone/Italy_cost.lgf,frt,bimodal,112,88711,86206,2505,22,3917.73,7131.42,934.042,OK
Backbone,Backbone/Italy_cost.lgf,random_mst,bimodal,112,6649,4,6645,28,0,6146.89,716.148,OK
Backbone,Backbone/Italy_cost.lgf,lp,bimodal,112,168675,NaN,NaN,NaN,NaN,7221.34,972.363,OK
Backbone,Backbone/NSF_cost.lgf,electrical,bimodal,86,33,32,1,12,1.91667,4114.35,598.979,OK
Backbone,Backbone/NSF_cost.lgf,ckr,bimodal,86,2252,10,2242,30,0,3615.96,555.975,OK
Backbone,Backbone/NSF_cost.lgf,frt,bimodal,86,19032,18384,648,19,966.895,4049.06,959.813,OK
Backbone,Backbone/NSF_cost.lgf,random_mst,bimodal,86,1739,2,1737,21,0,5069.43,618.894,OK
Backbone,Backbone/NSF_cost.lgf,lp,bimodal,86,89330,NaN,NaN,NaN,NaN,4232.11,738.698,OK
Backbone,Backbone/abilene_cost.lgf,electrical,bimodal,30,13,12,1,9,1.11111,1679.61,422.846,OK
Backbone,Backbone/abilene_cost.lgf,ckr,bimodal,30,16,2,14,14,0,1006.41,523.831,OK
Backbone,Backbone/abilene_cost.lgf,frt,bimodal,30,125,120,5,8,14.375,1018.98,601.153,OK
Backbone,Backbone/abilene_cost.lgf,random_mst,bimodal,30,14,0,14,12,0,1406.87,655.943,OK
Backbone,Backbone/abilene_cost.lgf,lp,bimodal,30,289,NaN,NaN,NaN,NaN,1000.89,363.455,OK
