dataset,graph,solver,demand,num_edges,total_time_ms,solve_time_ms,transformation_time_ms,mwu_iterations,avg_oracle_time_ms,achieved_congestion,offline_opt_value,status
yates,3cycle.lgf,lp,bimodal,12,5,NaN,NaN,NaN,NaN,892.016,867.453,OK
yates,4cycle.lgf,electrical,gravity,16,1,1,0,8,0,1.875,1.6875,OK
yates,4cycle.lgf,electrical,gaussian,16,1,1,0,8,0,3408.57,2681.38,OK
yates,4cycle.lgf,electrical,uniform,16,2,1,0,8,0,3575,2078,OK
yates,4cycle.lgf,electrical,bimodal,16,1,1,0,8,0,637.696,557.741,OK
yates,4cycle.lgf,frt,gravity,16,0,0,0,4,0,7.1875,1.6875,OK
yates,4cycle.lgf,frt,gaussian,16,0,0,0,4,0,9404.84,2343.58,OK
yates,4cycle.lgf,frt,uniform,16,0,0,0,4,0,8595.75,2016,OK
yates,4cycle.lgf,frt,bimodal,16,0,0,0,4,0,843.612,239.663,OK
yates,4cycle.lgf,ckr,gravity,16,0,0,0,5,0,7.16667,1.6875,OK
yates,4cycle.lgf,ckr,gaussian,16,0,0,0,4,0,10917.5,2713.29,OK
yates,4cycle.lgf,ckr,uniform,16,0,0,0,4,0,10183.5,2476,OK
yates,4cycle.lgf,ckr,bimodal,16,0,0,0,5,0,1385.99,508.806,OK
yates,4cycle.lgf,mst,gravity,16,0,0,0,4,0,7.25,1.6875,OK
yates,4cycle.lgf,mst,gaussian,16,0,0,0,4,0,11637.4,3121.28,OK
yates,4cycle.lgf,mst,uniform,16,0,0,0,4,0,8837.21,2502,OK
yates,4cycle.lgf,mst,bimodal,16,0,0,0,4,0,1387.02,482.999,OK
yates,4cycle.lgf,frt_mendel,gravity,16,0,0,0,9,0,5.46667,1.6875,OK
yates,4cycle.lgf,frt_mendel,gaussian,16,0,0,0,9,0,6779.42,3361.35,OK
yates,4cycle.lgf,frt_mendel,uniform,16,0,0,0,9,0,6601.73,2539,OK
yates,4cycle.lgf,frt_mendel,bimodal,16,0,0,0,9,0,1096.98,877.873,OK
yates,4cycle.lgf,ckr_mendel,gravity,16,0,0,0,10,0,5.78333,1.6875,OK
yates,4cycle.lgf,ckr_mendel,gaussian,16,0,0,0,10,0,9978.98,3853.27,OK
yates,4cycle.lgf,ckr_mendel,uniform,16,1,0,0,10,0,7857.55,2765,OK
yates,4cycle.lgf,ckr_mendel,bimodal,16,0,0,0,10,0,2229.98,1265.55,OK
yates,4cycle.lgf,lp,gravity,16,19,NaN,NaN,NaN,NaN,3.25,1.6875,OK
yates,4cycle.lgf,lp,gaussian,16,19,NaN,NaN,NaN,NaN,8216.53,2709.76,OK
yates,4cycle.lgf,lp,uniform,16,18,NaN,NaN,NaN,NaN,4892,2381,OK
yates,4cycle.lgf,lp,bimodal,16,18,NaN,NaN,NaN,NaN,486.295,191.977,OK
yates,4diag.lgf,electrical,gravity,18,2,1,0,9,0,2.01957,1.66667,OK
yates,4diag.lgf,electrical,gaussian,18,2,1,0,9,0,3908.26,2472.4,OK
yates,4diag.lgf,electrical,uniform,18,2,1,0,9,0,4708,2632,OK
yates,4diag.lgf,electrical,bimodal,18,2,2,0,9,0,528.914,980.856,OK
yates,4diag.lgf,frt,gravity,18,0,0,0,5,0,6.49735,1.66667,OK
yates,4diag.lgf,frt,gaussian,18,0,0,0,5,0,9234.94,4777.42,OK
yates,4diag.lgf,frt,uniform,18,0,0,0,5,0,7552.9,2360,OK
yates,4diag.lgf,frt,bimodal,18,0,0,0,5,0,905.919,504.878,OK
yates,4diag.lgf,ckr,gravity,18,0,0,0,6,0,6.43757,1.66667,OK
yates,4diag.lgf,ckr,gaussian,18,0,0,0,5,0,9749.87,3676.77,OK
yates,4diag.lgf,ckr,uniform,18,0,0,0,7,0,8620.53,2575,OK
yates,4diag.lgf,ckr,bimodal,18,0,0,0,5,0,559.806,507.477,OK
yates,4diag.lgf,mst,gravity,18,0,0,0,8,0,5.49224,1.66667,OK
yates,4diag.lgf,mst,gaussian,18,0,0,0,8,0,6141.86,2328.27,OK
yates,4diag.lgf,mst,uniform,18,0,0,0,8,0,6435.94,2102,OK
yates,4diag.lgf,mst,bimodal,18,0,0,0,8,0,1753.49,904.914,OK
yates,4diag.lgf,frt_mendel,gravity,18,0,0,0,8,0,5.88395,1.66667,OK
yates,4diag.lgf,frt_mendel,gaussian,18,0,0,0,8,0,5556.4,3202.52,OK
yates,4diag.lgf,frt_mendel,uniform,18,0,0,0,8,0,6765.42,2630,OK
yates,4diag.lgf,frt_mendel,bimodal,18,0,0,0,8,0,512.664,409.877,OK
